index,name,address,original_category,new_category,cost_for_two_both,hotel_stars,rule
4120,Hill & Sea,"Hill & Sea, Kashimira Mira Road (E मिरा भाईंदर Maharashtra 401107 Republic, Mira Bhayandar, Maharashtra 401107, India",Premium,Mainstream,1200.0,0.0,Fix1: suburban & cost < 2000
4053,Olivia - All Day Dining - GCC HOTEL AND CLUB,"Olivia - All Day Dining - GCC HOTEL AND CLUB, GCC Hotel and Club, Off, Mira Bhayander Link Rd, Phase 1, Gaurav Sankalp, Mira Road East, Thane, Mira Bhayandar, Maharashtra 401107, India",Premium,Mainstream,1200.0,0.0,Fix1: suburban & cost < 2000
4295,Cafe Holiday Mira Bhayandar,"Cafe Holiday Mira Bhayandar, Gaurav Garden, Complex, near TUNGA HOSPITAL, Queens Park, Mira Road East, Mira Bhayandar, Maharashtra 401105, India",Premium,Mainstream,1400.0,0.0,Fix1: suburban & cost < 2000
1023,"George Restaurant, Fort","George Restaurant, Fort, Hutatma Chowk, 20, Mumbai Samachar Marg, opposite State Bank of India, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",Mainstream,Premium,5788.42,0.0,Fix2: premium area & cost >= 4000
504,Ishaara,"Ishaara, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013, India",Mainstream,Premium,5200.0,0.0,Fix2: premium area & cost >= 4000
1487,antiSOCIAL,"Plot 242, antiSOCIAL, Mathuradas Mill Compound, Sitaram Jadhav Marg, Lower Parel, Mumbai, Maharashtra 400013, India",Mainstream,Premium,5000.0,0.0,Fix2: premium area & cost >= 4000
1205,Bira 91 Taproom - Kamala Mills,"Z-Wing, Bira 91 Taproom - Kamala Mills, Kamala Mills Compound, Unit No. 1 and, 2, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013, India",Mainstream,Premium,5516.0,0.0,Fix2: premium area & cost >= 4000
3660,Peshawri - ITC Maratha,"Peshawri - ITC Maratha, Chhatrapati Shivaji Maharaj Int'l Airport Rd, near International Airport, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099, India",Premium,Super Premium,8500.0,5.0,Fix3: 5-star hotel & cost >= 5000
355,JYRAN - TANDOOR DINING & LOUNGE,"JYRAN - TANDOOR DINING & LOUNGE, C 57, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098, India",Premium,Super Premium,13000.0,5.0,Fix3: 5-star hotel & cost >= 5000
1036,Fiona,"4V6H+4F3 Fiona, Marol Naka, Radisson Blu Mumbai International Airport, Marol Maroshi Rd, near Marol, Andheri East, Mumbai, Maharashtra 400059, India",Premium,Super Premium,6500.0,5.0,Fix3: 5-star hotel & cost >= 5000
2829,India Jones,"India Jones, The Trident, Nariman Point, Mumbai, Maharashtra 400021, India",Premium,Super Premium,8500.0,5.0,Fix3: 5-star hotel & cost >= 5000
